,0
285,5201.7441
286,5415.8203
287,5473.2295
288,5483.9573
289,5693.7859
290,5905.541
291,6793.802
292,9020.331
293,12898.856
294,19903.381
295,34730.084
296,52688.284
297,82408.367
298,118660.83
299,156970.77
300,202718.66
301,242180.75
302,273215.03
303,290660.99
304,288877.97
305,275117.76
306,244797.98
307,204862.22
308,158059.86
309,117771.81
310,81389.552
311,54209.833
312,36041.335
313,22692.439
314,16530.34
315,13359.969
316,11337.514
317,9948.5471
318,9440.8403
319,9291.9795
320,9242.9282
321,9332.8674
322,9160.5212
323,10194.604
324,9244.5105
325,9420.0852
326,9942.7268
327,9962.4087
328,10198.84
329,9743.8069
330,10549.058
331,10859.466
332,10710.938
333,10508.167
334,11055.89
335,11615.032
336,10834.139
337,11058.558
338,11993.635
339,11914.584
340,10996.778
341,11306.112
342,11385.707
343,11636.558
344,10830.781
345,11389.42
346,11223.595
347,10416.357
348,11417.153
349,10206.205
350,10901.934
351,10472.216
352,10263.57
353,11011.659
354,9433.4016
355,9936.0405
356,9500.9761
357,10230.426
358,9417.7764
359,9350.5913
360,9399.3887
361,9200.404
362,9326.6016
363,9013.5837
364,9012.8181
365,9183.3852
366,9030.1326
367,9058.7666
368,9030.1003
369,9100.364
370,8766.0049
371,8129.0542
372,8443.3618
373,7933.7983
374,7821.0298
375,7427.9099
376,7345.896
377,7517.0117
378,7109.1103
379,7274.2927
380,6804.4392
381,6244.3848
382,6438.9636
383,6624.0886
384,6113.2322
385,6373.3965
386,6036.8157
387,5996.957
388,5866.6706
389,6253.9875
390,5774.4187
391,5825.3291
392,5641.4868
393,5463.4683
394,5460.259
395,5134.4834
396,5202.2563
397,5047.6933
398,4999.3686
399,4906.9023
400,5225.6919
401,4398.2942
402,4619.6924
403,4252.2244
404,4378.0239
405,4127.7219
406,4468.1626
407,4534.2219
408,4146.9458
409,4026.4167
410,4334.4343
411,4359.9685
412,4063.4131
413,3788.9199
414,4029.3855
415,3788.8918
416,3974.9636
417,4220.9143
418,3759.1755
419,3787.3725
420,3788.5527
421,3845.3259
422,3307.7219
423,3639.6047
424,3689.4902
425,3445.9455
426,3440.605
427,3634.9609
428,3312.3379
429,3196.6179
430,3319.3545
431,3437.4954
432,3335.5818
433,3009.9936
434,3201.3042
435,3038.7026
436,3102.3401
437,3166.3638
438,3127.061
439,2883.6389
440,3229.0391
441,2981.5102
442,3241.3589
443,3120.8303
444,2987.6416
445,2876.9297
446,2903.9973
447,2948.8035
448,2789.5659
449,3038.4099
450,3012.1599
