,230,235,240,245,250,255,260,265,270,275,280,285,290,295,300,305,310,315,320,325,330,335,340,345,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,
290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
302,1.92E+05,2.43E+04,1.42E+04,9373.84289,9648.39139,9844.79881,1.19E+04,2.02E+04,1.61E+05,3.64E+05,1.01E+05,1.98E+04,1.68E+04,1.07E+05,1.31E+06,1.41E+06,1.29E+05,1499.80419,651.26772,421.75524,442.58456,656.88421,595.18702,226.43156,124.38539,94.13128,94.76684,97.31623,75.64831,62.31767,54.55358,53.47151,53.81473,53.65057,53.72828,60.15676,50.99887,44.80947,38.73285,41.75264,62.63125,39.60251,41.17668,44.2604,43.75729,39.43721,
306,1.86E+05,2.96E+04,1.64E+04,1.19E+04,1.17E+04,1.27E+04,1.54E+04,1.96E+04,4.80E+04,3.14E+05,3.41E+05,5.43E+04,1.86E+04,1.72E+04,2.70E+05,1.75E+06,1.24E+06,5.48E+04,1331.75002,573.79225,456.20753,576.84923,748.29084,644.62326,190.92904,120.33869,95.60714,89.36035,95.32485,80.68211,78.1091,62.49681,59.87914,59.41078,57.76569,54.81325,52.20492,49.52334,45.82628,44.23009,58.33374,42.59799,60.51584,52.85862,38.11467,42.25271,
310,2.33E+05,3.31E+04,1.81E+04,1.49E+04,1.44E+04,1.60E+04,1.89E+04,2.25E+04,3.22E+04,1.16E+05,4.58E+05,2.47E+05,2.70E+04,1.81E+04,2.20E+04,5.31E+05,2.14E+06,9.99E+05,2.01E+04,1137.11333,630.66478,510.19992,619.21431,990.68694,599.32512,205.43272,154.12557,107.02178,102.46119,107.998,73.48599,81.0197,72.85283,79.84102,54.7942,62.39478,63.28891,60.69534,54.08965,66.10347,61.96813,76.05673,57.58693,66.19902,56.02461,57.99959,
314,2.73E+05,4.02E+04,2.40E+04,1.78E+04,1.78E+04,1.95E+04,2.25E+04,2.69E+04,3.47E+04,4.74E+04,2.50E+05,5.10E+05,1.24E+05,2.12E+04,1.82E+04,3.36E+04,9.51E+05,2.38E+06,7.40E+05,5419.60446,1124.60328,640.50261,562.95258,875.36411,1109.78266,501.23135,172.86272,151.90129,147.8798,114.81684,103.80191,91.0828,80.88731,85.5024,64.04322,79.35528,65.08622,66.60537,60.57434,78.0796,77.23712,59.68513,68.51101,67.94715,70.11167,64.44234,
318,2.55E+05,4.52E+04,2.76E+04,2.19E+04,2.05E+04,2.38E+04,2.79E+04,3.19E+04,3.95E+04,4.67E+04,7.88E+04,4.23E+05,4.17E+05,5.58E+04,2.05E+04,1.97E+04,6.92E+04,1.47E+06,2.49E+06,4.33E+05,3502.39465,1096.38544,651.26001,649.62894,1041.43001,1205.01995,454.5356,190.2593,166.72201,149.97535,116.93448,107.70437,120.03332,98.91082,90.98332,71.81878,83.91723,82.66171,72.8923,86.65144,69.94981,67.06622,72.18027,78.92133,74.06119,75.44104,
322,2.70E+05,5.29E+04,3.27E+04,2.62E+04,2.61E+04,2.74E+04,3.11E+04,3.87E+04,4.59E+04,5.26E+04,5.51E+04,1.56E+05,5.65E+05,2.63E+05,3.12E+04,2.19E+04,2.09E+04,1.65E+05,2.00E+06,2.22E+06,2.34E+05,2641.10547,1039.63714,704.87029,782.7846,1327.87004,1276.9065,387.27325,189.22812,169.10164,142.32308,129.4775,116.21506,92.69083,97.43291,90.20056,83.87195,90.90587,91.08699,87.35002,100.72596,85.24734,88.35793,91.68797,70.58389,79.4051,
